,reward,1C,2C,3C,4C,5C,6C,7C,8C,9C,10C,11C,12C,13C,14C
20,1.0,0.15163456389259083,0.016496925055122656,-0.04162883458316075,0.19034641089546334,-0.027989982517234994,0.14831012550067071,0.09364999552555908,0.007836340067825283,-0.003958580422145179,-0.10718224367976492,-0.3020605890676883,-0.02705233132105532,-0.05744895738533945,0.06518489374233619
21,-1.0,0.18601294823291223,-0.29738618535080613,0.10722740796476175,0.08931750059838149,0.06536251926866087,-0.027600772073225994,0.051919139791560355,-0.1132092196028513,0.10139030542306579,-0.10309127402082136,-0.07904605058859074,0.3178425343524291,-0.06300033708908571,0.18790728886657806
22,1.0,0.16635482963489606,-0.13478065683811707,0.06645336536564946,0.1105569553727972,-0.09145220886282847,0.03347929506688249,0.24488570325319195,-0.23070296203841048,-0.2643635326119283,-0.09353856910533861,0.0008291810329139848,0.24264213024812822,-0.020854019807787942,-0.41615225934800665
23,1.0,0.1378240039365558,-0.033338640796307745,0.06239655683427036,0.14198803448992622,-0.029394147511264013,0.15683891938648223,-0.1587224689683991,-0.01982224083475401,-0.08953938400166461,-0.24299401120371955,0.017109061442384946,-0.007855711771629269,0.23831313634232232,-0.001520087425211144
24,-1.0,0.023234289921852547,0.011553222948273186,-0.23923696039780104,0.09356008222010125,0.31862964444675335,0.20998393769441703,0.001960317803301171,0.088774473078608,0.06795829073394029,0.015166685939136688,-0.2742411227367661,-0.0021793962376384095,-0.16348311819310465,-0.06714467626579036
25,1.0,0.04330128610381499,0.015489968734946093,-0.20790158543124956,0.007160699382248094,-0.034775993656118796,-0.08602650127343478,0.14529586864786265,-0.023796787081730865,0.15029139744343492,-0.04688536510903475,-0.21492726173089854,0.19934549639612553,0.20842600236770656,-0.04843721679809361
26,-1.0,0.14283785870031904,0.031515919365252665,-0.005104573575091389,-0.22167401126918182,-0.026348250638720563,-0.02254160706632309,0.16864377477931117,-0.16499118973597532,0.10650610126498933,0.03405595189309126,0.2759402602112291,0.026624311252359308,-0.02134834931319976,0.08241596261760771
27,1.0,0.10424905303499984,-0.12674661998962503,0.03326375422529057,-0.06222587321609281,0.08857133019564908,0.03326924703709428,-0.23491914643091752,-0.008269282130586118,-0.08066794311927425,-0.07605454738199295,-0.006489265576645626,0.16994758966425214,0.31597694100260637,0.1707916659877612
28,-1.0,0.034495816829137445,-0.09578147403979523,-0.14936785329221797,-0.19282650562188097,0.22303003964654367,0.03769167516814467,-0.03634268993490359,0.037422161109764915,-0.07212861537012386,0.11995992641482581,0.12102404134212433,-0.15515212491848476,0.01003376954179261,-0.11916191512510628
29,-1.0,-0.32875298400200176,-0.25552815458175365,-0.14528015252431387,0.03666995271088919,-0.15061104662337133,0.011175807487222564,-0.2301867705982625,-0.12300999555697915,-0.07870816821629913,0.20045335482138027,0.054919391008125755,-0.04689789960029455,-0.2914665970448425,0.037028279182012055
30,-1.0,-0.08800335708442238,0.033569488786236744,-0.32439278851127157,-0.12124984714061952,0.1993786549069383,0.1840341337560627,-0.05839060690564202,0.0709583285701321,-0.04514026767995249,0.015552753237507821,-0.06648515398060714,0.11186595135563566,0.20902893099626785,0.002244586191256119
31,-1.0,-0.08551575409060838,0.28292236735170584,-0.23062719035563709,0.20199340457109521,-0.02622632800539368,-0.12807585147260758,-0.10516175656360774,0.22710724045724837,0.05987050673404986,0.016882194250175644,0.3979021571365551,0.1258242173197684,0.05517972955860987,0.09002485409178132
32,-1.0,0.25765854715497877,0.04463869462896819,0.23754511071381365,0.10779335295020233,-0.09574027813632999,0.19688948363352984,-0.21680905359619077,0.0933226503900165,-0.27653242493422153,0.014962156662244545,0.061841637848685155,-0.22894984834631932,-0.2624239951616153,-0.16781236018236326
33,-1.0,-0.0413292964252757,0.23383081149296578,-0.08374450279060038,-0.21274683200985361,0.07099689395519537,0.2791461552758911,-0.13903089079819703,0.17105337096590775,-0.002547506611591042,-0.21554937244757874,0.1778561828099034,0.11966232326428008,-0.027466266734936913,-0.019898411674301453
34,1.0,0.1296408174940322,0.059659608678408284,0.09853294980595265,-0.4699590342349255,-0.37437904153166374,-0.06386173169555556,-0.0031128587554501903,0.1178031385618201,0.2932997831228111,-0.17349327830103903,0.05722542233498159,0.17832748657237593,-0.124236802807007,-0.17631654461710136
35,-1.0,-0.034095400805215115,0.1288214247913002,-0.22256176813037207,0.06357761681311368,-0.2078933643768772,-0.09034742126860885,0.004117961913028448,0.176057137094129,-0.24452461184949534,0.12862349972044507,0.055563084975086385,0.38718116102358763,-0.15896040628905156,-0.2490410777377527
36,1.0,0.2188928574748435,0.2917010202986626,-0.05076929521012827,0.011781640976365804,-0.08193570474543051,0.09614998923482146,0.08217790012146903,-0.0018482001237394626,0.1426062854103518,0.006621560979083188,-0.29152659380492485,-0.20007581994302504,0.20459582078426816,0.005748001418952126
